1.3354	-0.788	-1.6915	1.7293	-0.35951	1.3738	2.9639	2.2151	-1.2227	2.7878	2.7705	-0.25668	1.7757	-0.40552	0.27002	0.99734	0.24334	-2.8945	-1.5906	0.88918	-2.0383	2.2347	-0.42643	2.8338	0.71106
0.24723	-0.061003	-0.94285	2.4011	0.51747	1.4518	2.2523	3.6022	0.25614	2.7256	0.86788	-1.9773	1.184	-0.072826	1.7401	2.8456	0.46788	-1.6984	-3.2115	1.6719	-1.2835	3.6343	0.82829	3.5716	-0.44449
-0.22287	0.65179	-0.077055	3.0258	1.0228	1.5232	1.9711	4.844	1.1654	2.5634	-0.68221	-3.7845	1.0097	0.13061	3.3214	4.6633	0.79165	-0.43325	-4.8624	2.154	-0.77019	4.7146	1.9902	4.2323	-2.3624
-0.8476	1.241	0.70593	3.7811	1.7347	1.7327	1.7074	6.5283	1.7418	2.3424	-2.267	-5.3308	0.76484	0.23941	5.2807	6.3646	1.1805	0.86144	-6.1415	2.2756	0.11654	5.9693	3.2833	5.1453	-3.491
-2.0083	1.4929	1.3077	4.5867	2.3208	1.8252	1.5037	8.037	2.2305	2.1607	-4.3049	-7.0898	0.58237	0.26456	6.9466	7.8911	1.6802	1.87	-6.9068	2.3137	0.84637	7.0912	4.3025	6.3148	-5.1718
-3.1968	1.5359	1.7171	5.2735	2.8075	1.739	1.478	9.4945	2.8461	1.9742	-5.656	-8.4743	0.65665	0.45521	8.6545	9.1285	2.2603	2.6204	-7.7375	2.4799	1.655	8.1129	5.7044	7.264	-6.6389
0.80476	2.2629	2.6214	0.3261	2.0075	-0.27011	2.9514	-3.1032	-2.5538	2.4741	2.2967	-0.59577	-1.1062	-1.6763	-1.6419	2.8672	0.75198	-2.781	1.2845	-1.4733	-2.2829	0.92864	-0.21142	-1.6181	2.81
-0.05225	2.8037	2.6241	1.5545	2.8118	-0.12346	2.6943	-1.7745	-1.244	2.4681	0.96854	-1.6363	-1.39	-1.5391	-0.56038	4.01	1.4501	-2.1956	-0.071925	-1.3899	-1.2561	1.9345	1.1842	-0.96813	1.2124
-0.90321	3.7805	2.4512	2.6626	3.8995	0.1046	2.2906	-0.29577	-0.13169	2.5067	-0.42737	-3.3674	-1.605	-1.4921	0.32843	5.5469	1.8453	-1.5267	-1.2708	-1.0939	-0.56457	3.1571	2.3196	-0.45183	-0.27848
-2.0132	4.6809	2.3206	3.8148	4.9487	0.15652	1.7375	0.99934	0.81233	2.6753	-1.9021	-4.4566	-1.79	-1.5691	1.2145	6.9305	2.0085	-0.49522	-2.1042	-0.43611	0.41475	3.9241	3.4458	0.38201	-1.8615
-2.9148	4.8265	2.3394	4.7144	5.3871	0.31394	1.5422	2.6917	2.0766	2.9078	-3.5883	-5.8296	-2.1629	-1.7582	2.4487	8.8694	2.3072	0.84062	-3.1244	0.4872	1.3351	4.8197	4.2554	1.162	-3.336
-3.8071	5.0102	2.5746	5.5	6.0819	0.70534	1.6053	3.7622	3.3088	3.0859	-4.9986	-7.5992	-2.4261	-2.0285	3.5437	10.325	2.9594	2.1878	-4.5269	1.4487	2.0437	5.955	5.0688	1.7339	-4.7761
-0.15534	-0.31183	1.7549	-0.07765	-2.3796	1.9206	-1.9557	-0.37904	0.046714	0.0049094	0.7861	2.6759	-3.0862	3.0338	-1.8975	-0.90792	3.05	-0.10536	-2.0852	2.8801	2.9937	-1.2278	1.0447	-2.1664	-0.44619
-1.2952	0.0076849	1.8553	0.91118	-1.706	1.937	-2.2504	0.93114	0.87305	0.65458	-0.77744	1.0518	-3.1324	2.8452	-0.25803	0.70989	3.6144	0.9203	-3.4901	3.8427	3.9028	-0.037209	2.0003	-1.7153	-1.6738
-2.451	0.91069	2.1893	2.0379	-1.4415	2.3014	-2.5937	2.2723	2.0353	1.3805	-2.6175	-0.093592	-3.1993	2.7304	1.2326	2.3047	4.0604	2.0439	-4.5333	4.5926	5.0631	1.0799	3.1481	-0.94988	-3.2587
-3.0237	1.9095	2.7422	3.2628	-1.0933	2.6427	-2.849	3.3523	3.2112	2.072	-4.0361	-1.5755	-3.3647	2.6062	2.9153	3.5224	4.3655	3.1166	-5.0541	5.087	5.9913	2.0932	4.0688	-0.34914	-4.7464
-3.454	2.3012	3.3367	4.2408	-0.34049	2.9341	-2.7736	4.3368	4.0711	2.6393	-5.5994	-3.2167	-3.4402	2.5609	4.2779	4.7287	4.7224	3.9908	-5.7262	5.513	6.679	3.3921	5.1	0.17624	-6.1787
-4.4655	2.879	3.8989	5.1564	0.37098	3.4094	-2.3324	5.4898	4.9127	3.1016	-7.4564	-4.6695	-3.7044	2.5038	5.5717	6.1186	5.2021	4.8071	-7.0795	5.9885	7.6077	4.3056	6.2858	1.0342	-7.9068
0.2815	-1.7518	2.7964	-0.22241	-0.20251	-2.6625	-1.325	2.0663	0.62961	-1.2394	-2.2658	-0.8047	-0.74865	2.8781	2.3986	-1.8662	-2.5881	-0.26316	-2.3728	1.926	-2.2373	-1.6881	1.2996	1.7504	1.1818
